100,naive,0.011205
100,better,0.005638
100,blas,0.000038
150,naive,0.011260
150,better,0.010045
150,blas,0.000097
200,naive,0.025948
200,better,0.025782
200,blas,0.000214
250,naive,0.088307
250,better,0.053507
250,blas,0.000213
300,naive,0.088563
300,better,0.080311
300,blas,0.000321
350,naive,0.141549
350,better,0.128145
350,blas,0.000502
400,naive,0.210369
400,better,0.187958
400,blas,0.000603
450,naive,0.295733
450,better,0.266600
450,blas,0.000764
500,naive,0.408958
500,better,0.364590
500,blas,0.000883
550,naive,0.537535
550,better,0.485213
550,blas,0.001024
600,naive,0.709324
600,better,0.630908
600,blas,0.001247
650,naive,0.907051
650,better,0.799884
650,blas,0.001134
700,naive,1.151681
700,better,1.033835
700,blas,0.001368
750,naive,1.495900
750,better,1.258540
750,blas,0.001700
800,naive,2.500201
800,better,1.653655
800,blas,0.002008
850,naive,2.261026
850,better,1.884127
850,blas,0.001804
900,naive,3.113591
900,better,2.317319
900,blas,0.001899
950,naive,3.526726
950,better,2.717126
950,blas,0.002208
